,Date,Time,open,high,low,close,volume
301,02-11-2023,09:40:00,19440.2,19445.0,19435.15,19438.35,800.0
302,02-11-2023,09:45:00,19438.35,19438.35,19427.25,19428.4,450.0
303,02-11-2023,09:50:00,19428.4,19428.4,19414.3,19424.2,1650.0
304,02-11-2023,09:55:00,19424.2,19424.2,19412.7,19412.7,1500.0
305,02-11-2023,10:00:00,19412.7,19418.0,19412.7,19418.0,450.0
306,02-11-2023,10:05:00,19418.0,19422.5,19418.0,19419.2,750.0
307,02-11-2023,10:10:00,19419.2,19422.5,19401.4,19402.15,1700.0
308,02-11-2023,10:15:00,19402.15,19410.0,19400.0,19406.05,1050.0
309,02-11-2023,10:20:00,19406.05,19406.05,19391.85,19396.1,1550.0
310,02-11-2023,10:25:00,19396.1,19398.8,19395.0,19396.8,500.0
311,02-11-2023,10:30:00,19396.8,19400.0,19396.8,19400.0,150.0
312,02-11-2023,10:35:00,19400.0,19400.0,19394.0,19394.0,150.0
313,02-11-2023,10:40:00,19394.0,19395.0,19393.75,19395.0,250.0
314,02-11-2023,10:45:00,19395.0,19397.15,19392.7,19396.0,300.0
315,02-11-2023,10:50:00,19396.0,19396.0,19388.7,19391.4,250.0
316,02-11-2023,10:55:00,19391.4,19391.4,19385.0,19388.0,350.0
317,02-11-2023,11:00:00,19388.0,19388.0,19380.15,19388.0,1050.0
318,02-11-2023,11:05:00,19388.0,19389.45,19388.0,19388.5,750.0
319,02-11-2023,11:10:00,19388.5,19400.0,19388.5,19400.0,350.0
320,02-11-2023,11:15:00,19400.0,19400.0,19393.55,19393.55,100.0
321,02-11-2023,11:20:00,19393.55,19393.55,19389.55,19389.55,350.0
322,02-11-2023,11:25:00,19389.55,19389.85,19387.0,19389.85,100.0
323,02-11-2023,11:30:00,19387.2,19390.0,19387.2,19390.0,150.0
324,02-11-2023,11:35:00,19390.0,19390.0,19375.0,19381.0,800.0
325,02-11-2023,11:40:00,19381.0,19381.0,19365.0,19369.85,1150.0
326,02-11-2023,11:45:00,19369.85,19369.85,19352.0,19352.0,3750.0
327,02-11-2023,11:50:00,19352.0,19362.95,19352.0,19359.0,1250.0
328,02-11-2023,11:55:00,19359.0,19365.9,19357.65,19364.5,550.0
329,02-11-2023,12:00:00,19364.5,19364.5,19356.0,19359.95,1000.0
330,02-11-2023,12:05:00,19359.95,19359.95,19353.0,19353.0,250.0
331,02-11-2023,12:10:00,19353.0,19373.2,19352.0,19368.6,1100.0
332,02-11-2023,12:15:00,19368.6,19368.7,19368.6,19368.7,50.0
333,02-11-2023,12:20:00,19368.7,19380.0,19365.85,19380.0,150.0
334,02-11-2023,12:25:00,19380.0,19382.0,19378.9,19380.0,350.0
335,02-11-2023,12:30:00,19380.0,19380.0,19373.0,19373.0,250.0
336,02-11-2023,12:35:00,19373.0,19374.4,19373.0,19374.4,100.0
337,02-11-2023,12:40:00,19374.9,19390.0,19374.9,19385.2,1900.0
338,02-11-2023,12:45:00,19385.0,19385.05,19381.7,19385.0,1550.0
339,02-11-2023,12:55:00,19385.0,19389.35,19385.0,19387.95,500.0
340,02-11-2023,13:00:00,19387.95,19394.9,19387.95,19394.0,300.0
341,02-11-2023,13:05:00,19394.0,19394.0,19387.0,19387.0,350.0
342,02-11-2023,13:10:00,19387.0,19395.0,19387.0,19395.0,350.0
343,02-11-2023,13:15:00,19395.0,19400.0,19394.05,19395.0,500.0
344,02-11-2023,13:20:00,19395.0,19395.0,19394.3,19394.3,50.0
345,02-11-2023,13:25:00,19394.3,19395.85,19380.45,19380.45,600.0
346,02-11-2023,13:40:00,19380.45,19396.3,19380.45,19395.0,150.0
347,02-11-2023,13:45:00,19395.0,19400.0,19394.0,19400.0,400.0
348,02-11-2023,13:50:00,19400.0,19422.0,19400.0,19419.6,1750.0
349,02-11-2023,13:55:00,19419.6,19429.15,19419.6,19423.45,1900.0
350,02-11-2023,14:00:00,19423.45,19427.0,19420.0,19420.0,500.0
351,02-11-2023,14:05:00,19420.0,19423.35,19413.4,19421.45,200.0
352,02-11-2023,14:15:00,19421.45,19429.15,19419.95,19419.95,1150.0
353,02-11-2023,14:20:00,19419.95,19420.0,19414.6,19417.1,300.0
354,02-11-2023,14:25:00,19417.1,19420.0,19413.2,19413.2,700.0
355,02-11-2023,14:30:00,19413.0,19415.0,19413.0,19415.0,600.0
356,02-11-2023,14:35:00,19415.0,19419.95,19415.0,19418.0,650.0
